Title, Content, time for action, time from start 
'<b>Setup</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' has started,'<b>Setup</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' has started,0:00,0:00
'<b>Setup script</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' was enqueued,'<b>Setup script</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' was enqueued,0:00,0:00
'<b>Setup script</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' has started,'<b>Setup script</b>' environment command on '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>' has started,0:00,0:00
Reservation message: 'Beginning reservation setup',Reservation message: 'Beginning reservation setup',0:00,0:00
Reservation message: 'Apps deployment started',Reservation message: 'Apps deployment started',0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' enqueued,0:00,0:00
'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' started,0:00,0:00
