Title, Content, time for action, time from start 
'<b>F1-DUT03-SSP1RU/TenGigabit1_6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_6</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_8</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_8</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_7</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_7</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/TenGigabit1_5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/TenGigabit1_5</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>F1-DUT03-SSP1RU/Power 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>F1-DUT03-SSP1RU/Power 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtualization Orchestrator</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtualization Orchestrator</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
'<b>Virtualization Workflow</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>Virtualization Workflow</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
Reservation '<b>SSP-QP Topology 1-CIM2.0</b>' has started,Reservation '<b>SSP-QP Topology 1-CIM2.0</b>' has started,0:0,0:0
'<b>Setup</b>' environment command on '<b>SSP-QP Topology 1</b>' was enqueued,'<b>Setup</b>' environment command on '<b>SSP-QP Topology 1</b>' was enqueued,0:0,0:0
'<b>Setup</b>' environment command on '<b>SSP-QP Topology 1</b>' has started,'<b>Setup</b>' environment command on '<b>SSP-QP Topology 1</b>' has started,0:0,0:0
'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' was enqueued,'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' was enqueued,0:0,0:0
'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' has started,'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' has started,0:0,0:0
'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' enqueued,'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' enqueued,0:0,0:0
'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' started,'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' started,0:0,0:0
Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: VLAN ID,Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: VLAN ID,0:0,0:0
Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Virtual Network,Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Virtual Network,0:0,0:0
Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Entity Data,Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Entity Data,0:0,0:0
Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Entity Data,Service '<b>Virtual Network [Auto Trunk]</b>' details were updated. '<b>Virtual Network [Auto Trunk]</b>' new value is: Entity Data,0:0,0:0
'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' completed with output: completed,'<b>Create</b>' resource command on '<b>Virtual Network [Auto Trunk]</b>' completed with output: completed,0:0,0:0
Service '<b>Virtual Network [Manual]2</b>' details were updated. '<b>Virtual Network [Manual]2</b>' new value is: VLAN ID,Service '<b>Virtual Network [Manual]2</b>' details were updated. '<b>Virtual Network [Manual]2</b>' new value is: VLAN ID,0:0,0:0
Service '<b>Virtual Network [Manual]3</b>' details were updated. '<b>Virtual Network [Manual]3</b>' new value is: VLAN ID,Service '<b>Virtual Network [Manual]3</b>' details were updated. '<b>Virtual Network [Manual]3</b>' new value is: VLAN ID,0:0,0:0
Service '<b>Virtual Network [Manual]</b>' details were updated. '<b>Virtual Network [Manual]</b>' new value is: VLAN ID,Service '<b>Virtual Network [Manual]</b>' details were updated. '<b>Virtual Network [Manual]</b>' new value is: VLAN ID,0:0,0:0
Service '<b>Virtual Network [Manual]1</b>' details were updated. '<b>Virtual Network [Manual]1</b>' new value is: VLAN ID,Service '<b>Virtual Network [Manual]1</b>' details were updated. '<b>Virtual Network [Manual]1</b>' new value is: VLAN ID,0:0,0:0
'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' was completed with output: Virtual Network [Manual]2 820-834SSP Virtual Network [Auto] Virtual Network [Manual]3 820-834...,'<b>VlanRangeCopy</b>' environment command on '<b>SSP-QP Topology 1</b>' was completed with output: Virtual Network [Manual]2 820-834SSP Virtual Network [Auto] Virtual Network [Manual]3 820-834...,0:0,0:0
'<b>Setup</b>' resource command on '<b>Virtualization Workflow</b>' enqueued,'<b>Setup</b>' resource command on '<b>Virtualization Workflow</b>' enqueued,0:0,0:0
'<b>Setup</b>' resource command on '<b>Virtualization Workflow</b>' started,'<b>Setup</b>' resource command on '<b>Virtualization Workflow</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-smtp-server</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-smtp-server</b>' enqueued,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx2</b>' enqueued,'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx2</b>' enqueued,0:0,0:0
